OCCUPATION_TYPE,EMP_FEIN,EMP_NAICS,EMP_NUM_PAYROLL,EMP_YEAR_COMMENCED,JOB_TITLE,JOB_OPP_WAGE_FROM,JOB_OPP_WAGE_TO,JOB_OPP_WAGE_PER,JOB_AVG_WAGE,PRIMARY_WORKSITE_TYPE,PRIMARY_WORKSITE_CITY,PRIMARY_WORKSITE_STATE,PRIMARY_WORKSITE_POSTAL_CODE,PRIMARY_WORKSITE_BLS_AREA,OTHER_REQ_IS_FULLTIME_EMP,OTHER_REQ_IS_LIVEIN_HOUSEHOLD,OTHER_REQ_JOB_FOREIGN_LANGUAGE
Non-professional,81-3262093,238160,12,2016,Roofer Operations Lead,"$46,738.00",,Year,,Business Premises,Panama City,FL,32404,"Panama City, FL",Y,N,N
Professional occupation,98-0429806,541511,4200,1968,Technical Architect,"$138,590.00","$230,000.00",Year,"$184,295.00",Business Premises,New York,NY,10178,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,20-5930595,311710,330,2006,Fish Cutter and Trimmer,"$21,112.00","$21,112.00",Year,,Business Premises,EUTAW,AL,35462,Southwest Alabama nonmetropolitan area,Y,N,N
College/University Teacher,38-6006309,611310,60300,1817,Clinical Instructor for Instructional Design,"$90,768.00",,Year,,Business Premises,Ann Arbor,MI,48109,"Ann Arbor, MI",Y,N,N
Non-professional,38-2813561,722513,597,1986,Team Member,"$27,300.00",,Year,,Business Premises,Rochester,NY,14623,"Rochester, NY",Y,N,N
Professional occupation,20-4327508,3391,1337,2008,Sr. Applications Developer II,"$156,000.00","$160,000.00",Year,"$158,000.00",Business Premises,San Diego,CA,92130,"San Diego-Carlsbad, CA",Y,N,N
Non-professional,56-0845796,623110,6490,1954,Nursing Assistant,"$29,120.00",,Year,,Business Premises,Fayetteville,NC,28304,"Fayetteville, NC",Y,N,N
Professional occupation,83-1989092,541511,115,2018,Software Developer,"$157,477.00",,Year,"$157,477.00",Business Premises,Plainsboro,NJ,08536,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,91-1144442,51121,3645,1975,Premier Field Engineer (Customer Engineer),"$170,000.00","$200,000.00",Year,"$185,000.00",Business Premises,Irving,TX,75039,"Dallas-Fort Worth-Arlington, TX",Y,N,N
Non-professional,27-2247124,56173,30,2009,Landscape Technician,"$26,333.00","$26,333.00",Year,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
College/University Teacher,55-6000842,611310,6953,1867,Assistant Professor (Hospitalist),"$283,675.00",,Year,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Professional occupation,27-0791190,541715,1430,2017,Engineering Team Manager – Product Engineering,"$125,362.00",,Year,"$125,362.00",Business Premises,Troy,MI,48098,"Detroit-Warren-Dearborn, MI",Y,N,N
Non-professional,95-4338515,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,,Business Premises,City of Industry,CA,91745,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,95-4338515,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,,Business Premises,City of Industry,CA,91745,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,11-3601638,54131,6,2001,Project Designer,"$55,536.00","$55,536.00",Year,"$55,536.00",Business Premises,New York,NY,10038,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,98-0429806,541511,4200,1968,Technical Architect ,"$138,590.00","$230,000.00",Year,"$184,295.00",Business Premises,New York,NY,10178,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,80-0077029,541611,187,2003,Senior IT Architect [SOC: 15-1199.02],"$150,857.20",,Year,"$150,857.20",Business Premises,Blue Bell,PA,19422,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Y,N,N
Professional occupation,71-0781138,622110,1035,1995,Physician - Rheumatologist - Internal Medicine,"$250,000.00",,Year,"$250,000.00",Business Premises,North Little Rock,AR,72117,"Little Rock-North Little Rock-Conway, AR",Y,N,N
Non-professional,59-3095997,561720,235,1985,Janitor,"$24,960.00",,Year,,Business Premises,LONGWOOD,FL,32750,"Orlando-Kissimmee-Sanford, FL",Y,N,N
Non-professional,20-5930595,311710,330,2006,Fish Cutter and Trimmer,"$21,112.00","$21,112.00",Year,,Business Premises,EUTAW,AL,35462,Southwest Alabama nonmetropolitan area,Y,N,N
Non-professional,27-3703498,621610,61,2015,Home Health Aide,"$27,000.00","$27,000.00",Year,,Business Premises,Duluth,GA,30097,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Non-professional,20-5930595,311710,330,2006,Fish Cutter and Trimmer,"$21,112.00","$21,112.00",Year,,Business Premises,EUTAW,AL,35462,Southwest Alabama nonmetropolitan area,Y,N,N
Professional occupation,20-5910717,611710,1500,1946,Manager – Quality Assurance,"$121,742.00",,Year,"$121,742.00",Business Premises,Glendale,CA,91203,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,04-2931951,49319,786,2019,Warehouse Selector,$15.75,,Hour,,Business Premises,Chicopee,MA,01013,"Springfield, MA-CT",Y,N,N
Non-professional,62-1651281,23899,174,1996,Pool Construction Laborer,"$41,600.00","$41,600.00",Year,,Business Premises,LA VERGNE,TN,37086,"Nashville-Davidson--Murfreesboro--Franklin, TN",Y,N,N
Professional occupation,33-0796737,5191,1252,1992,Data Scientist,"$150,380.00",,Year,"$150,380.00",Business Premises,San Diego,CA,92130,"San Diego-Carlsbad, CA",Y,N,N
Professional occupation,84-1383926,61131,1011,1997,Software Engineer,"$125,000.00",,Year,"$125,000.00",Business Premises,Salt Lake City,UT,84107,"Salt Lake City, UT",Y,N,N
Non-professional,20-5930595,311710,330,2006,Fish Cutter and Trimmer,"$21,112.00","$21,112.00",Year,,Business Premises,EUTAW,AL,35462,Southwest Alabama nonmetropolitan area,Y,N,N
Non-professional,95-4338515,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,,Business Premises,City of Industry,CA,91745,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,47-2075074,522320,36,2014,Junior Technician,"$55,494.00",,Year,"$55,494.00",Business Premises,Chicago,IL,60606,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,N
Non-professional,38-2813561,722513,597,1986,Team Member,"$27,300.00",,Year,,Business Premises,Rochester,NY,14623,"Rochester, NY",Y,N,N
Professional occupation,27-0791190,541715,1430,2017,Sr. Electrical Engineer,"$85,946.00",,Year,"$85,946.00",Business Premises,Troy,MI,48098,"Detroit-Warren-Dearborn, MI",Y,N,N
Non-professional,65-0102679,71391,360,1989,Line Cook,"$28,600.00","$28,600.00",Year,,Business Premises,Jupiter,FL,33477,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,N,N
Non-professional,37-1268785,56173,249,1980,Landscape Laborer,"$35,276.80",,Year,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Non-professional,27-4207843,624410,9,2010,Early Head Start Teacher,"$32,302.00",,Year,,Business Premises,Rogers,AR,72756,"Fayetteville-Springdale-Rogers, AR-MO",Y,N,N
Non-professional,58-0808521,311615,1041,1958,Poultry Processing Worker,"$31,200.00","$31,200.00",Year,,Business Premises,Bethlehem,GA,30620,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Professional occupation,46-4958214,54161,9280,2014,"Senior Manager, SAP Supply Chain and Operations","$122,262.00",,Year,"$122,262.00",Business Premises,Philadelphia,PA,19103,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Y,N,N
Non-professional,95-4338515,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,,Business Premises,City of Industry,CA,91745,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,81-3407147,423430,35,2016,Accountant,"$51,542.00",,Year,"$51,542.00",Business Premises,Las Vegas,NV,89103,"Las Vegas-Henderson-Paradise, NV",Y,N,N
Non-professional,20-5930595,311710,330,2006,Fish Cutter and Trimmer,"$21,112.00","$21,112.00",Year,,Business Premises,EUTAW,AL,35462,Southwest Alabama nonmetropolitan area,Y,N,N
Professional occupation,83-2292321,336411,452,2018,Staff System Safety Engineer,"$170,000.00","$215,000.00",Year,"$192,500.00",Business Premises,San Jose,CA,95134,"San Jose-Sunnyvale-Santa Clara, CA",Y,N,N
Professional occupation,27-4649892,54171,66,2011,Software Engineering Manager - Mobile,"$175,000.00","$200,000.00",Year,"$187,500.00",Business Premises,New York,NY,10010,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,04-2931951,49319,786,2019,Warehouse Selector,$15.25,,Hour,,Business Premises,Chicopee,MA,01013,"Springfield, MA-CT",Y,N,N
Professional occupation,98-0429806,541511,4200,1968,Technical Architect,"$138,590.00","$230,000.00",Year,"$184,295.00",Business Premises,New York,NY,10178,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,58-0808521,311615,1041,1958,Poultry Processing Worker,"$31,200.00","$31,200.00",Year,,Business Premises,Bethlehem,GA,30620,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Non-professional,27-3703498,621610,61,2015,Home Health Aide,"$27,000.00","$27,000.00",Year,,Business Premises,Duluth,GA,30097,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Professional occupation,26-1765515,541511,530,2008,Business Intelligence Analyst,"$78,000.00",,Year,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Non-professional,27-3703498,621610,61,2015,Home Health Aide,"$27,000.00","$27,000.00",Year,,Business Premises,Duluth,GA,30097,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Professional occupation,22-3536104,541511,3250,1993,Chief Business Analyst ,"$122,262.00","$135,000.00",Year,"$128,631.00",Business Premises,Newtown,PA,18940,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Y,N,N
Professional occupation,30-0102049,33291,148,2002,Product Engineer,"$81,203.00","$81,203.00",Year,"$81,203.00",Business Premises,Auburn Hills,MI,48326,"Detroit-Warren-Dearborn, MI",Y,N,N
Non-professional,95-4338515,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,,Business Premises,City of Industry,CA,91745,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,95-4338515,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,,Business Premises,City of Industry,CA,91745,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,56-0845796,623110,6490,1954,Nursing Assistant,"$29,120.00",,Year,,Business Premises,Fayetteville,NC,28304,"Fayetteville, NC",Y,N,N
College/University Teacher,38-6006309,611310,60300,1817,Assistant Professor,"$125,000.00",,Year,,Business Premises,Ann Arbor,MI,48109,"Ann Arbor, MI",Y,N,N
Non-professional,81-3262093,238160,12,2016,Roofer Operations Lead,"$46,738.00",,Year,,Business Premises,Panama City,FL,32404,"Panama City, FL",Y,N,N
Professional occupation,46-4958214,54161,13412,2014,"Manager, Cyber IAM Sailpoint (Multiple Positions) ","$135,000.00",,Year,"$135,000.00",Business Premises,Dallas,TX,75201,"Dallas-Fort Worth-Arlington, TX",Y,N,N
Non-professional,95-4338515,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,,Business Premises,City of Industry,CA,91745,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,98-0429806,541511,4200,1968,Technical Architect ,"$138,590.00","$230,000.00",Year,"$184,295.00",Business Premises,New York,NY,10178,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
College/University Teacher,39-6006492,611310,1100,1894,Assistant Professor,"$106,000.00",,Year,,Business Premises,Stevens Point,WI,54481,Northeastern Wisconsin nonmetropolitan area,Y,N,N
Non-professional,59-3095997,561720,235,1985,Janitor,"$24,960.00",,Year,,Business Premises,Longwood,FL,32750,"Orlando-Kissimmee-Sanford, FL",Y,N,N
College/University Teacher,39-6006492,61131,874,1848,Assistant Professor,"$75,000.00",,Year,,Business Premises,Platteville,WI,53818,South Central Wisconsin nonmetropolitan area,Y,N,N
Non-professional,59-3095997,561720,235,1985,Janitor,"$24,960.00",,Year,,Business Premises,LONGWOOD,FL,32750,"Orlando-Kissimmee-Sanford, FL",Y,N,N
Professional occupation,91-1138675,6212,311,1981,Dentist,"$124,862.00",,Year,"$124,862.00",Business Premises,PASCO,WA,99301,"Kennewick-Richland, WA",Y,N,N
Non-professional,56-0845796,623110,6490,1954,Nursing Assistant,"$29,120.00",,Year,,Business Premises,Fayetteville,NC,28304,"Fayetteville, NC",Y,N,N
Non-professional,04-2931951,49319,786,2019,Freezer Selector,$19.50,,Hour,,Business Premises,Chicopee,MA,01013,"Springfield, MA-CT",Y,N,N
Non-professional,81-0982236,722511,22,2015,COOK,"$32,000.00",,Year,,Business Premises,DICKENSON ,ND,58601,West North Dakota nonmetropolitan area,Y,N,N
Non-professional,38-2813561,722513,597,1986,Team Member,"$27,300.00",,Year,,Business Premises,Rochester,NY,14623,"Rochester, NY",Y,N,N
Professional occupation,34-1953155,447110,28450,2001,Gasoline Trader,"$175,573.00","$250,000.00",Year,"$212,786.50",Business Premises,Houston,TX,77046,"Houston-The Woodlands-Sugar Land, TX",Y,N,N
Non-professional,58-0808521,311615,1041,1958,Poultry Processing Worker,"$31,200.00","$31,200.00",Year,,Business Premises,Bethlehem,GA,30620,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Non-professional,95-4338515,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,,Business Premises,City of Industry,CA,91745,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,56-0845796,623110,6490,1954,Nursing Assistant,"$29,120.00",,Year,,Business Premises,Fayetteville,NC,28304,"Fayetteville, NC",Y,N,N
Non-professional,27-3703498,621610,61,2015,Home Health Aide,"$27,000.00","$27,000.00",Year,,Business Premises,Duluth,GA,30097,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Non-professional,04-2931951,49319,786,2019,Warehouse Selector,$16.25,,Hour,,Business Premises,Chicopee,MA,01013,"Springfield, MA-CT",Y,N,N
Non-professional,56-0845796,623110,6490,1954,Nursing Assistant,"$34,715.20",,Year,,Business Premises,Fayetteville,NC,28304,"Fayetteville, NC",Y,N,N
Non-professional,58-0808521,311615,1041,1958,Poultry Processing Worker,"$31,200.00","$31,200.00",Year,,Business Premises,Bethlehem,GA,30620,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Non-professional,95-4338515,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,,Business Premises,City of Industry,CA,91745,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,04-2931951,49319,786,2019,Truck Loader,$19.00,,Hour,,Business Premises,Chicopee,MA,01013,"Springfield, MA-CT",Y,N,N
Non-professional,04-2931951,49319,786,2019,Truck Loader,$19.00,,Hour,,Business Premises,Chicopee,MA,01013,"Springfield, MA-CT",Y,N,N
Professional occupation,26-1402120,4249,160,2007,Business Development Specialist,"$44,803.00",,Year,"$44,803.00",Business Premises,Irvine,CA,92618,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Professional occupation,81-1606525,5416,8,2016,SOFTWARE ARCHITECT,"$126,173.00","$140,000.00",Year,"$133,086.50",Business Premises,LAKE MARY,FL,32746,"Orlando-Kissimmee-Sanford, FL",Y,N,N
Non-professional,59-3095997,561720,235,1985,Janitor,"$24,960.00",,Year,,Business Premises,LONGWOOD,FL,32750,"Orlando-Kissimmee-Sanford, FL",Y,N,N
Non-professional,56-0845796,623110,6490,1954,Nursing Assistant,"$29,120.00",,Year,,Business Premises,Fayetteville,NC,28304,"Fayetteville, NC",Y,N,N
Non-professional,31-4360115,238210,154,1936,Commercial Driver's License (CDL) Driver,"$45,011.00","$45,011.00",Year,,Business Premises,Manassas,VA,20110,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Y,N,N
Non-professional,59-3095997,561720,235,1985,Janitor,"$24,960.00",,Year,,Business Premises,LONGWOOD,FL,32750,"Orlando-Kissimmee-Sanford, FL",Y,N,N
Non-professional,04-2931951,49319,786,2019,Warehouse Selector,$15.75,,Hour,,Business Premises,Chicopee,MA,01013,"Springfield, MA-CT",Y,N,N
Non-professional,46-3015195,339999,47,2012,PRODUCT MAKER,"$38,979.00",,Year,,Business Premises,VISTA,CA,92081,"San Diego-Carlsbad, CA",Y,N,Y
Non-professional,04-2931951,49319,786,2019,Truck Loader,$19.00,,Hour,,Business Premises,Chicopee,MA,01013,"Springfield, MA-CT",Y,N,N
Professional occupation,20-5947231,52311,2696,1862,"Associate Director, Risk Modeling & Analytics Specialist","$130,000.00",,Year,"$130,000.00",Business Premises,Weehawken,NJ,07086,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,26-2575753,332710,15,2010,Mechanical Design Engineer,"$101,733.00","$101,733.00",Year,"$101,733.00",Business Premises,Houston,TX,77070,"Houston-The Woodlands-Sugar Land, TX",Y,N,N
Non-professional,04-2699681,72111,3,1971,Laundry Worker,"$31,200.00","$31,200.00",Year,,Business Premises,N. Truro,MA,02652,"Barnstable Town, MA",Y,N,N
Professional occupation,98-0429806,541511,4200,1968,Technical Architect,"$138,590.00","$230,000.00",Year,"$184,295.00",Business Premises,New York,NY,10178,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,91-1996083,5191,140,1999,Software Engineer,"$158,080.00","$196,000.00",Year,"$177,040.00",Business Premises,San Francisco,CA,94104,"San Francisco-Oakland-Hayward, CA",Y,N,N
Non-professional,58-0808521,311615,1041,1958,Poultry Processing Worker,"$31,200.00","$31,200.00",Year,,Business Premises,Bethlehem,GA,30620,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Non-professional,56-0845796,623110,6490,1954,Nursing Assistant,"$29,120.00",,Year,,Business Premises,Fayetteville,NC,28304,"Fayetteville, NC",Y,N,N
Professional occupation,98-0429806,541511,4200,1968,Technical Architect ,"$138,590.00","$230,000.00",Year,"$184,295.00",Business Premises,New York,NY,10178,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,59-3095997,561720,235,1985,Janitor,"$24,960.00",,Year,,Business Premises,LONGWOOD,FL,32750,"Orlando-Kissimmee-Sanford, FL",Y,N,N
Non-professional,27-3703498,621610,61,2015,Home Health Aide,"$27,000.00","$27,000.00",Year,,Business Premises,Duluth,GA,30097,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
College/University Teacher,71-6003252,611310,6524,1871,Assistant Professor,"$41,030.00","$170,000.00",Year,,Business Premises,Fayetteville,AR,72701,"Fayetteville-Springdale-Rogers, AR-MO",Y,N,N
Non-professional,56-0845796,623110,6490,1954,Nursing Assistant,"$29,120.00",,Year,,Business Premises,Fayetteville,NC,28304,"Fayetteville, NC",Y,N,N
Non-professional,04-2931951,49319,786,2019,Warehouse Selector,$15.75,,Hour,,Business Premises,Chicopee,MA,01013,"Springfield, MA-CT",Y,N,N
Non-professional,38-2813561,722513,597,1986,Team Member,"$27,300.00",,Year,,Business Premises,Rochester,NY,14623,"Rochester, NY",Y,N,N
Professional occupation,98-0429806,541511,4200,1968,Technical Architect ,"$138,590.00","$230,000.00",Year,"$184,295.00",Business Premises,New York,NY,10178,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,56-0845796,623110,6490,1954,Nursing Assistant,"$29,120.00",,Year,,Business Premises,Fayetteville,NC,28304,"Fayetteville, NC",Y,N,N
Professional occupation,83-1989092,541511,115,2018,Software Developer,"$157,477.00",,Year,"$157,477.00",Business Premises,Plainsboro,NJ,08536,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,59-3095997,561720,235,1985,Janitor,"$24,960.00",,Year,,Business Premises,LONGWOOD,FL,32750,"Orlando-Kissimmee-Sanford, FL",Y,N,N
Professional occupation,23-3064123,541511,269,2000,Clinical SAS Programmer Analyst,"$86,486.00","$86,486.00",Year,"$86,486.00",Business Premises,King of Prussia,PA,19406,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Y,N,N
Non-professional,95-4338515,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,,Business Premises,City of Industry,CA,91745,"Los Angeles-Long Beach-Anaheim, CA",Y,N,N
Non-professional,56-0845796,623110,6490,1954,Nursing Assistant,"$29,120.00",,Year,,Business Premises,Fayetteville,NC,28304,"Fayetteville, NC",Y,N,N
Non-professional,46-3015195,339999,47,2012,PRODUCT MAKER,"$39,979.00",,Year,,Business Premises,VISTA,CA,92081,"San Diego-Carlsbad, CA",Y,N,Y
Non-professional,37-1268785,56173,249,1980,Landscape Laborer,"$35,276.80",,Year,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Professional occupation,42-2294855,5416,11,2011,SOFTWARE DEVELOPER,"$82,000.00","$125,000.00",Year,"$103,500.00",Business Premises,HAMILTON,NJ,08691,"Trenton, NJ",Y,N,N
Professional occupation,83-1592683,54161,8,2018,HR Specialist,"$70,100.00",,Year,"$70,100.00",Business Premises,New York,NY,10005,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,59-3095997,561720,235,1985,Janitor,"$24,960.00",,Year,,Business Premises,Longwood,FL,32750,"Orlando-Kissimmee-Sanford, FL",Y,N,N
Professional occupation,23-2259884,51791,1252,2000,Lead System Consultant-Software Development,"$144,960.00",,Year,"$144,960.00",Business Premises,Miami,FL,33178,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,N,N
Non-professional,20-5930595,311710,330,2006,Fish Cutter and Trimmer,"$21,112.00","$21,112.00",Year,,Business Premises,EUTAW,AL,35462,Southwest Alabama nonmetropolitan area,Y,N,N
Professional occupation,82-3563982,541511,573,2017,Software Engineer III ,"$148,512.00","$180,000.00",Year,"$164,256.00",Business Premises,Dallas,TX,75244,"Dallas-Fort Worth-Arlington, TX",Y,N,N
Non-professional,26-2751496,492110,28,2008,Driver,"$31,200.00","$31,200.00",Year,,Business Premises,Beltsville,MD,20705,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Y,N,N
Non-professional,36-4106782,447190,3,1997,Operations Manager,"$50,500.00","$50,500.00",Year,,Business Premises,Addison,IL,60101,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,N
Non-professional,56-0845796,623110,6490,1954,Nursing Assistant,"$29,120.00",,Year,,Business Premises,Fayetteville,NC,28304,"Fayetteville, NC",Y,N,N
Non-professional,04-2699681,72111,3,1971,Laundry Worker,"$31,200.00","$31,200.00",Year,,Business Premises,N. Truro,MA,02652,"Barnstable Town, MA",Y,N,N
Non-professional,32-0598866,92612,1,2019,Bookkeeper,"$40,061.00",,Year,,Business Premises,ROLLING MEADOWS,IL,60008,"Chicago-Naperville-Elgin, IL-IN-WI",Y,N,N
Non-professional,46-3015195,339999,47,2012,PRODUCT MAKER,"$38,979.00",,Year,,Business Premises,VISTA,CA,92081,"San Diego-Carlsbad, CA",Y,N,Y
Non-professional,59-3095997,561720,235,1985,Janitor,"$24,960.00",,Year,,Business Premises,LONGWOOD,FL,32750,"Orlando-Kissimmee-Sanford, FL",Y,N,N
Non-professional,59-3095997,561720,235,1985,Janitor,"$24,960.00",,Year,,Business Premises,LONGWOOD,FL,32750,"Orlando-Kissimmee-Sanford, FL",Y,N,N
Professional occupation,83-1989092,541511,115,2018,Software Developer,"$157,477.00",,Year,"$157,477.00",Business Premises,Plainsboro,NJ,08536,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,20-5930595,311710,330,2006,Fish Cutter and Trimmer,"$21,112.00","$21,112.00",Year,,Business Premises,EUTAW,AL,35462,Southwest Alabama nonmetropolitan area,Y,N,N
Non-professional,81-3262093,238160,12,2016,Roofer Operations Lead,"$46,738.00",,Year,,Business Premises,Panama City,FL,32404,"Panama City, FL",Y,N,N
Non-professional,56-0845796,623110,6490,1954,Nursing Assistant,"$29,120.00",,Year,,Business Premises,Fayetteville,NC,28304,"Fayetteville, NC",Y,N,N
Professional occupation,13-1924236,62231,21000,1884,Advanced Software Developer,"$94,300.00","$150,900.00",Year,"$122,600.00",Business Premises,New York,NY,10017,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,52-1542646,11521,128,2005,Production Planner,"$53,000.00","$55,000.00",Year,,Business Premises,Huntsville,AL,35806,"Huntsville, AL",Y,N,N
Professional occupation,98-0429806,541511,4200,1968,Technical Architect,"$138,590.00","$230,000.00",Year,"$184,295.00",Business Premises,New York,NY,10178,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,81-3262093,238160,12,2016,Roofer Operations Lead,"$46,738.00",,Year,,Business Premises,Panama City,FL,32404,"Panama City, FL",Y,N,N
Non-professional,58-0808521,311615,1041,1958,Poultry Processing Worker,"$31,200.00","$31,200.00",Year,,Business Premises,Bethlehem,GA,30620,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Professional occupation,98-0429806,541511,4200,1968,Technical Architect,"$138,590.00","$230,000.00",Year,"$184,295.00",Business Premises,New York,NY,10178,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,59-3095997,561720,235,1985,Janitor,"$24,960.00",,Year,,Business Premises,LONGWOOD,FL,32750,"Orlando-Kissimmee-Sanford, FL",Y,N,N
Professional occupation,52-1671314,611110,1150,1912,Kindergarten Teacher,"$58,977.00",,Year,"$58,977.00",Business Premises,Maricopa,AZ,85139,"Phoenix-Mesa-Scottsdale, AZ",Y,N,N
Professional occupation,98-0429806,541511,30835,1968,Technical Architect ,"$138,590.00","$230,000.00",Year,"$184,295.00",Business Premises,New York,NY,10178,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,38-2813561,722513,597,1986,Team Member,"$27,300.00",,Year,,Business Premises,Rochester,NY,14623,"Rochester, NY",Y,N,N
Professional occupation,46-4954679,61162,28,2015,Tennis Instructor,"$60,000.00","$65,000.00",Year,"$62,500.00",Business Premises,White Plains,NY,10604,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,39-2079800,561720,85,2012,Sanitation Technician,"$21,757.00",,Year,,Business Premises,CARY,NC,27513,"Raleigh, NC",Y,N,N
Non-professional,82-5269454,722513,25,2018,CASHIERS,"$18,000.00",,Year,,Business Premises,DECATUR,GA,30033,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Professional occupation,91-1996083,5191,1630,1999,Data Engineer,"$105,500.00","$148,000.00",Year,"$126,750.00",Business Premises,Austin,TX,78758,"Austin-Round Rock, TX",Y,N,N
Non-professional,81-3262093,238160,12,2016,Roofer Operations Lead,"$46,738.00",,Year,,Business Premises,Panama City,FL,32404,"Panama City, FL",Y,N,N
Non-professional,52-2254752,561790,8,2000,PRODUCTION MANAGER,"$91,333.00",,Year,,Business Premises,IJAMSVILLE,MD,21754,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Y,N,Y
Professional occupation,98-0429806,541511,4200,1968,Technical Architect,"$138,590.00","$230,000.00",Year,"$184,295.00",Business Premises,New York,NY,10178,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,86-1031037,541211,48,2001,Tax Accountant,"$75,525.00",,Year,,Business Premises,Phoenix,AZ,85004,"Phoenix-Mesa-Scottsdale, AZ",Y,N,N
Non-professional,37-1268785,56173,249,1980,Landscape Laborer,"$35,276.80",,Year,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Professional occupation,26-1765515,541511,530,2008,Software Developer,"$110,500.00",,Year,,No one specific worksite address or physical location,N/A,,N/A,N/A,Y,N,N
Non-professional,16-1773230,541490,20,2006,Sculptor,"$42,120.00","$42,120.00",Year,,Business Premises,Baton Rouge,LA,70809,"Baton Rouge, LA",Y,N,N
